id,titleEmoji,text,mode
Event_09,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev01_greet"", ""text"": ""やあ、今日はいい天気だね！""}, {""operation"": ""page"", ""pageId"": ""ev01_ask"", ""text"": ""散歩でもしてみないかい？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev01_yes"", ""text"": ""だよね！日差しを浴びると元気が出るよ。行こう！""}, {""operation"": ""jump"", ""targetPage"": ""ev01_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev01_no"", ""text"": ""そっか。日陰でゆっくりするのも悪くないね。""}, {""operation"": ""jump"", ""targetPage"": ""ev01_end""}, {""operation"": ""exit"", ""pageId"": ""ev01_end""}], ""entryPage"": ""ev01_greet""}",
Event_10,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev02_greet"", ""text"": ""ねえ、黒い猫を見かけなかった？""}, {""operation"": ""page"", ""pageId"": ""ev02_ask"", ""text"": ""尻尾がちょっと短くて、人懐っこい子なんだ。""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev02_yes"", ""text"": ""ほんと？ ありがとう！ その辺を探してみるよ！""}, {""operation"": ""jump"", ""targetPage"": ""ev02_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev02_no"", ""text"": ""そうか…。見つけたら教えてくれると助かるよ。""}, {""operation"": ""jump"", ""targetPage"": ""ev02_end""}, {""operation"": ""exit"", ""pageId"": ""ev02_end""}], ""entryPage"": ""ev02_greet""}",
Event_11,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev03_greet"", ""text"": ""その服、いい色合いだね！""}, {""operation"": ""page"", ""pageId"": ""ev03_ask"", ""text"": ""君は暖色と寒色、どっちが好き？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev03_yes"", ""text"": ""暖色派か！情熱的で素敵だよね〜。""}, {""operation"": ""jump"", ""targetPage"": ""ev03_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev03_no"", ""text"": ""寒色も落ち着いてて良いよね。クールだ！""}, {""operation"": ""jump"", ""targetPage"": ""ev03_end""}, {""operation"": ""exit"", ""pageId"": ""ev03_end""}], ""entryPage"": ""ev03_greet""}",
Event_12,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev04_greet"", ""text"": ""面白いジョークを思いついたんだ！""}, {""operation"": ""page"", ""pageId"": ""ev04_ask"", ""text"": ""聞いてみる？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev04_yes"", ""text"": ""……ってね！どう？笑えた？""}, {""operation"": ""jump"", ""targetPage"": ""ev04_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev04_no"", ""text"": ""あら、残念。また今度にしよう！""}, {""operation"": ""jump"", ""targetPage"": ""ev04_end""}, {""operation"": ""exit"", ""pageId"": ""ev04_end""}], ""entryPage"": ""ev04_greet""}",
Event_13,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev05_greet"", ""text"": ""最近、東の遺跡で怪しい光が見えるらしいよ。""}, {""operation"": ""page"", ""pageId"": ""ev05_ask"", ""text"": ""噂、もう耳にした？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev05_yes"", ""text"": ""やっぱり！気になるよね。近々調べに行くつもりさ。""}, {""operation"": ""jump"", ""targetPage"": ""ev05_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev05_no"", ""text"": ""そうなんだ。気をつけてね、何が起きてるか分からないから。""}, {""operation"": ""jump"", ""targetPage"": ""ev05_end""}, {""operation"": ""exit"", ""pageId"": ""ev05_end""}], ""entryPage"": ""ev05_greet""}",
Event_14,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev06_greet"", ""text"": ""暇ならジャンケンで勝負しない？""}, {""operation"": ""page"", ""pageId"": ""ev06_ask"", ""text"": ""やる気ある？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev06_yes"", ""text"": ""グー・チョキ・パー！…結果は内緒ってことで！""}, {""operation"": ""jump"", ""targetPage"": ""ev06_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev06_no"", ""text"": ""了解！またいつでも挑戦を受けるよ。""}, {""operation"": ""jump"", ""targetPage"": ""ev06_end""}, {""operation"": ""exit"", ""pageId"": ""ev06_end""}], ""entryPage"": ""ev06_greet""}",
Event_15,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev07_greet"", ""text"": ""夜空がきれいだよ。星が降ってきそうだ。""}, {""operation"": ""page"", ""pageId"": ""ev07_ask"", ""text"": ""少し眺めていかない？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev07_yes"", ""text"": ""流れ星に願い事、忘れずにね！""}, {""operation"": ""jump"", ""targetPage"": ""ev07_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev07_no"", ""text"": ""そっか、また別の夜にでもゆっくりどうぞ。""}, {""operation"": ""jump"", ""targetPage"": ""ev07_end""}, {""operation"": ""exit"", ""pageId"": ""ev07_end""}], ""entryPage"": ""ev07_greet""}",
Event_16,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev08_greet"", ""text"": ""温かいお茶が淹れてあるんだ。""}, {""operation"": ""page"", ""pageId"": ""ev08_ask"", ""text"": ""一杯どう？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev08_yes"", ""text"": ""どうぞ。香りでリラックスしてね。""}, {""operation"": ""jump"", ""targetPage"": ""ev08_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev08_no"", ""text"": ""了解。また気が向いたら寄ってね。""}, {""operation"": ""jump"", ""targetPage"": ""ev08_end""}, {""operation"": ""exit"", ""pageId"": ""ev08_end""}], ""entryPage"": ""ev08_greet""}",
Event_17,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev09_greet"", ""text"": ""この辺、最近騒がしくない？""}, {""operation"": ""page"", ""pageId"": ""ev09_ask"", ""text"": ""静かな場所、知ってる？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev09_yes"", ""text"": ""ほんと？後で教えてくれると助かる！""}, {""operation"": ""jump"", ""targetPage"": ""ev09_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev09_no"", ""text"": ""そっか…。静かになる日を祈ろう。""}, {""operation"": ""jump"", ""targetPage"": ""ev09_end""}, {""operation"": ""exit"", ""pageId"": ""ev09_end""}], ""entryPage"": ""ev09_greet""}",
Event_18,💬,"{""commands"": [{""operation"": ""page"", ""pageId"": ""ev10_greet"", ""text"": ""少し疲れてるみたいだね。""}, {""operation"": ""page"", ""pageId"": ""ev10_ask"", ""text"": ""ベンチで一休みする？""}, {""operation"": ""dialog"", ""dialogMode"": ""yesno""}, {""operation"": ""answer"", ""answerValue"": ""yes""}, {""operation"": ""page"", ""pageId"": ""ev10_yes"", ""text"": ""無理は禁物だよ。ゆっくりしていこう。""}, {""operation"": ""jump"", ""targetPage"": ""ev10_end""}, {""operation"": ""answer"", ""answerValue"": ""no""}, {""operation"": ""page"", ""pageId"": ""ev10_no"", ""text"": ""そう？じゃあ気をつけてね！""}, {""operation"": ""jump"", ""targetPage"": ""ev10_end""}, {""operation"": ""exit"", ""pageId"": ""ev10_end""}], ""entryPage"": ""ev10_greet""}",
